상권_코드,n_images,hc_h_mean,hc_h_std,hc_s_mean,hc_s_std,hc_v_mean,hc_v_std,hc_colorful,hc_edge_mean,hc_edge_std,hc_edge_density,hc_glcm_contrast,hc_glcm_dissimilarity,hc_glcm_homogeneity,hc_glcm_energy,hc_glcm_correlation,hc_glcm_ASM,hc_gabor_0,hc_gabor_45,hc_gabor_90,hc_gabor_135,hc_entropy
3110872,10,0.33921848362572,0.2498188791557033,0.1571878656839432,0.1350716157292813,0.453032812978707,0.2011484920503277,0.0785943372728988,0.0610658748551262,0.0787647186180016,0.197674560546875,12.494384334582843,1.900646659955815,0.5538866808103731,0.1226720526690808,0.8418037331118532,0.0159948380279286,0.0087606319937686,0.0056477168885643,0.0096650259930229,0.0056557591326759,14.423204099266751
3120114,10,0.3929269069691176,0.2252484416520977,0.1565162863072148,0.1399035546899017,0.4464324472464767,0.1439077169305834,0.0872584487666221,0.0558623040825812,0.0629741818270239,0.1859024047851562,8.92507835341316,1.7300501637782169,0.5482521714531216,0.1447695749511785,0.7687537504582207,0.0217453053104009,0.0076140398570272,0.0046226163239216,0.0109720518685977,0.0045658671407627,14.338099785774125
3110083,10,0.3473231570612656,0.2383431491637583,0.1618255861191306,0.132849453423422,0.4757417985504749,0.1860130544957646,0.0905567061583865,0.0539112901043302,0.0701405681553244,0.172027587890625,9.936395849461992,1.6757473132781382,0.5822223145360251,0.1422932176756214,0.8362450697044963,0.0212789504395812,0.007276953463109,0.0049391814059967,0.0094850524857039,0.0047484362200648,14.269764666371088
3110947,10,0.3749370065835125,0.2437911808389007,0.1317170228704954,0.1389473849555988,0.4560712687174478,0.1909144622637655,0.0638475403061113,0.0474463018190268,0.066727338539641,0.1371017456054687,8.493799322448329,1.4792736465664824,0.6096108418642371,0.1311184125224416,0.8784566350503142,0.0177203326994138,0.0054034823826967,0.0041607101287721,0.0080566316089575,0.0040495874457284,13.92666145017561
3110956,10,0.3293224776509365,0.223356009472798,0.163309315834824,0.1360631878323903,0.4854219862994026,0.1764820713536218,0.0824422684965797,0.0514310903725545,0.0689226988182543,0.1577499389648437,9.574005725852462,1.614022806953645,0.591669828591342,0.1525099745685927,0.8229756563976192,0.0269006278087333,0.0066740448366504,0.0045940579289623,0.009362303394392,0.0048190287466364,14.102760561775508
3110285,10,0.3449618519796488,0.236783421637203,0.1713924100834954,0.144888402872391,0.5114782535328585,0.1954711303715902,0.0975419810861185,0.0590599296759759,0.0788716565177369,0.1954330444335937,12.258896777695616,1.848115876435648,0.5747060776067526,0.1436599202504327,0.8238351185789549,0.0221036948182303,0.0081341725723894,0.005413703001504,0.0099434996775981,0.0055310132941041,14.12524347526904
3120029,10,0.3818262243321836,0.1977773736621779,0.2255364299006071,0.1872704188009824,0.4421153169519762,0.1914727080422108,0.1090054302152494,0.0605489352159795,0.0735151051404216,0.198663330078125,11.64777298198426,1.87594075771405,0.5493900473686079,0.1136888474077192,0.836758067626938,0.0134791934626,0.0084421850593387,0.0052318459466202,0.0091195989567556,0.0058967325697873,14.829797315007417
3110975,10,0.436814220303405,0.2322527532438389,0.1432678477757888,0.1394154729945869,0.4715073948280484,0.1797747513323853,0.0805438564263885,0.0529047681171864,0.0685834893206099,0.1686172485351562,9.555956758207298,1.6333661219414537,0.5910446211821575,0.1373702120641547,0.8479427712687901,0.0202931238167663,0.0073574505498164,0.0046149170522097,0.0085341446796256,0.0045763469934234,14.119729323031752
3120038,10,0.3809285097718319,0.2286250189505998,0.1759764619110237,0.155331107044374,0.4339526307349112,0.1778823628589272,0.092155264078498,0.0577401922814675,0.0736444416233752,0.1844970703125,11.490398349638028,1.788724289368945,0.5706787075722926,0.1446378655903754,0.8196443090315636,0.0276432426782685,0.0083671077162431,0.0049712430926502,0.0098291922250306,0.004911123054342,14.386395125764375
3110747,10,0.3472117955634309,0.2462875834621439,0.179278750006294,0.1478033426145198,0.4527598302504595,0.2049996432715802,0.0958481727584763,0.0599113008418619,0.0787936494962453,0.1927169799804687,12.517240394057936,1.8624068378534584,0.5681827003427093,0.1220963080135986,0.843901506708851,0.015872554963352,0.0080033539150214,0.0052193652666481,0.0103498669257976,0.0050051729434581,14.58738421512118
