상권_코드,n_images,seg_building,seg_window,seg_sign,seg_road,seg_sidewalk,seg_green,seg_sky,seg_person,seg_car,seg_entropy
3110872,10,0.5693416595458984,0.0006828308105468,0.0126644134521484,0.1885307312011718,0.0699344635009765,0.0009513854980468,0.1022430419921875,0.0030803680419921,0.0310832977294921,1.1834877749890855
3120114,10,0.5117748260498047,0.0,0.0375232696533203,0.2467777252197265,0.0675849914550781,0.0669818878173828,0.0106624603271484,0.0058525085449218,0.0466480255126953,1.2984912001140871
3110083,10,0.4118618011474609,0.0,0.0057109832763671,0.2078262329101562,0.0806461334228515,0.034625244140625,0.1176799774169921,0.0036491394042968,0.1267723083496093,1.4809466929803112
3110947,10,0.3915561676025391,0.009329605102539,0.0237926483154296,0.1136688232421875,0.0318550109863281,0.0449535369873046,0.1550060272216797,0.0022975921630859,0.1271373748779297,1.5664711758939502
3110956,10,0.6415973663330078,0.0,0.0102943420410156,0.0792182922363281,0.0726871490478515,0.0501979827880859,0.0452159881591796,0.0003570556640625,0.0541900634765625,1.1292351007394008
3110285,10,0.4493087768554687,0.0040241241455078,0.0723461151123046,0.1170700073242187,0.0404300689697265,0.0156841278076171,0.216794204711914,0.0038002014160156,0.0703987121582031,1.4021039842189271
3120029,10,0.5691574096679688,0.0,0.0102962493896484,0.0970481872558593,0.126751708984375,0.0989315032958984,0.0153934478759765,0.0112918853759765,0.0546443939208984,1.2376626320096096
3110975,10,0.6162830352783203,0.0,0.0254695892333984,0.138669204711914,0.0308685302734375,0.0877067565917968,0.0449050903320312,0.0009593963623046,0.0374832153320312,1.1457309073223698
3120038,10,0.5407428741455078,0.0032501220703125,0.0466167449951171,0.1743438720703125,0.0799129486083984,0.028702163696289,0.0359729766845703,0.0102317810058593,0.0288280487060546,1.381320108062335
3110747,10,0.5163032531738281,0.0,0.0325942993164062,0.1432426452636718,0.0619029998779296,0.0028266906738281,0.094174575805664,0.0018989562988281,0.1313793182373047,1.4149039468938012
3110794,10,0.5947887420654296,1.068115234375e-05,0.0164348602294921,0.2187599182128906,0.053934097290039,0.0174175262451171,0.0382652282714843,0.0054420471191406,0.0273784637451171,1.1777548128506847
3110922,10,0.63565673828125,0.0081249237060546,0.0071678161621093,0.0845241546630859,0.073550796508789,0.0887493133544921,0.0430267333984375,0.0033416748046875,0.0134674072265625,1.2014690531279375
3110905,10,0.6943885803222656,0.0007392883300781,0.0216213226318359,0.13236083984375,0.0501609802246093,0.0357753753662109,0.0160015106201171,0.0027645111083984,0.0107353210449218,0.9894087305835476
