상권_코드,filename,poi_lat,poi_lng,pano_lat,pano_lng,heading,capture_date,capture_year,store_name,success
3110009,37.592860_126.965035_44.jpg,37.59286,126.965035,37.592793,126.964954,44,2018-04,2018,명란식당,True
3110009,37.592923_126.965963_52.jpg,37.592923,126.965963,37.592858,126.965859,52,2018-04,2018,미담,True
3110009,37.592707_126.965556_340.jpg,37.592707,126.965556,37.592616,126.965597,340,2018-04,2018,신용전기.마트,True
3110009,37.595220_126.963901_177.jpg,37.59522,126.963901,37.59529,126.963896,177,2018-04,2018,앨리스의티팟,True
3110009,37.594787_126.963901_226.jpg,37.594787,126.963901,37.594856,126.963992,226,2018-04,2018,아토,True
3110009,37.595571_126.964071_333.jpg,37.595571,126.964071,37.595472,126.964136,333,2018-04,2018,청운토속집,True
3110009,37.594400_126.964026_73.jpg,37.5944,126.964026,37.594331,126.963751,73,2018-05,2018,오브아,True
3110009,37.593878_126.964253_89.jpg,37.593878,126.964253,37.593873,126.96398,89,2018-04,2018,마그마숲,True
3110009,37.592689_126.965974_83.jpg,37.592689,126.965974,37.59268,126.96589,83,2018-04,2018,클럽에스프레소,True
3110009,37.592941_126.964480_342.jpg,37.592941,126.96448,37.592903,126.964495,342,2018-04,2018,시몽글로벌,True
3110009,37.593247_126.965668_330.jpg,37.593247,126.965668,37.593188,126.965712,330,2018-04,2018,부암동가는길,True
3110009,37.594185_126.967899_0.jpg,37.594185,126.967899,37.593979,126.967898,0,2018-04,2018,그냥.괜찮아,True
3110009,37.594094_126.966121_121.jpg,37.594094,126.966121,37.594197,126.965902,121,2018-04,2018,환기재단재,True
3110009,37.594058_126.964060_72.jpg,37.594058,126.96406,37.594024,126.963929,72,2018-04,2018,창의공간협동조합,True
3110009,37.593734_126.966280_330.jpg,37.593734,126.96628,37.59361,126.96637,330,2018-04,2018,에이라운지,True
3110009,37.593139_126.966054_106.jpg,37.593139,126.966054,37.593169,126.965924,106,2018-04,2018,자주빛노을자하손만두주,True
3110009,37.594203_126.968397_328.jpg,37.594203,126.968397,37.594113,126.968468,328,2018-04,2018,순,True
3110009,37.592878_126.964808_15.jpg,37.592878,126.964808,37.592826,126.96479,15,2018-04,2018,머리하는날,True
3110009,37.592797_126.966133_301.jpg,37.592797,126.966133,37.592701,126.966332,301,2018-04,2018,창의문뜰,True
3110009,37.596473_126.967683_316.jpg,37.596473,126.967683,37.596393,126.967781,316,2018-04,2018,지하우스,True
3110010,37.605492_126.966263_344.jpg,37.605492,126.966263,37.605341,126.966318,344,2018-04,2018,오빌,True
3110010,37.605167_126.965040_96.jpg,37.605167,126.96504,37.605173,126.964971,96,2018-04,2018,엠마,True
3110010,37.606204_126.966603_223.jpg,37.606204,126.966603,37.606294,126.966709,223,2018-04,2018,텃밭풍경,True
3110010,37.606627_126.966636_93.jpg,37.606627,126.966636,37.606632,126.966513,93,2018-04,2018,비르투&포르투나,True
3110010,37.604933_126.965052_252.jpg,37.604933,126.965052,37.604959,126.965152,252,2015-01,2015,한국야생화자수연구소,True
3110010,37.606015_126.966659_229.jpg,37.606015,126.966659,37.606137,126.966834,229,2018-04,2018,뉴본갤러리,True
3110010,37.605068_126.965312_322.jpg,37.605068,126.965312,37.60497,126.96541,322,2018-04,2018,사랑텔레콤,True
3110010,37.605672_126.966523_330.jpg,37.605672,126.966523,37.605484,126.966658,330,2018-04,2018,니꼴라헤어살롱,True
3110010,37.611277_126.967948_264.jpg,37.611277,126.967948,37.6113,126.96821,264,2015-01,2015,마가,True
3110010,37.606096_126.966942_47.jpg,37.606096,126.966942,37.606061,126.966895,47,2018-04,2018,오병이어,True
3110010,37.605212_126.964746_225.jpg,37.605212,126.964746,37.605288,126.964843,225,2018-04,2018,유씨네,True
