reg,model,fold,r2,rmse,mae
LASSO,"('DINOv2', 'top10')",8,0.635438,0.874027,0.666977
LASSO,"('DINOv2', 'top10')",9,0.742036,0.674271,0.487452
LASSO,"('DINOv2', 'top10')",10,0.59988,0.904547,0.647305
LASSO,"('DINOv2', 'top20')",1,0.609861,0.910427,0.688431
LASSO,"('DINOv2', 'top20')",2,0.655255,0.928934,0.703369
LASSO,"('DINOv2', 'top20')",3,0.695933,0.765171,0.616578
LASSO,"('DINOv2', 'top20')",4,0.637421,0.859638,0.661566
LASSO,"('DINOv2', 'top20')",5,0.613877,0.884347,0.655327
LASSO,"('DINOv2', 'top20')",6,0.373608,0.909791,0.729448
LASSO,"('DINOv2', 'top20')",7,0.622428,0.832126,0.676024
LASSO,"('DINOv2', 'top20')",8,0.62865,0.882126,0.672956
LASSO,"('DINOv2', 'top20')",9,0.756542,0.655039,0.479758
LASSO,"('DINOv2', 'top20')",10,0.61076,0.892165,0.644327
ElasticNet,"('A',)",1,0.483116,1.04793,0.751249
ElasticNet,"('A',)",2,0.563433,1.045348,0.780482
ElasticNet,"('A',)",3,0.6433,0.828754,0.669134
ElasticNet,"('A',)",4,0.528349,0.980448,0.711708
ElasticNet,"('A',)",5,0.537033,0.968355,0.72664
ElasticNet,"('A',)",6,0.443218,0.857751,0.69033
ElasticNet,"('A',)",7,0.482102,0.974566,0.825018
ElasticNet,"('A',)",8,0.522706,1.000074,0.793033
ElasticNet,"('A',)",9,0.670453,0.762103,0.600384
ElasticNet,"('A',)",10,0.502451,1.008682,0.726135
ElasticNet,"('ResNet-50', 'thresh')",1,0.563247,0.963283,0.744848
ElasticNet,"('ResNet-50', 'thresh')",2,0.636527,0.953832,0.722288
ElasticNet,"('ResNet-50', 'thresh')",3,0.64244,0.829751,0.680507
ElasticNet,"('ResNet-50', 'thresh')",4,0.606437,0.895615,0.66362
ElasticNet,"('ResNet-50', 'thresh')",5,0.594082,0.906731,0.701558
ElasticNet,"('ResNet-50', 'thresh')",6,0.429942,0.867916,0.684916
ElasticNet,"('ResNet-50', 'thresh')",7,0.570717,0.88728,0.740921
ElasticNet,"('ResNet-50', 'thresh')",8,0.631502,0.878732,0.679129
ElasticNet,"('ResNet-50', 'thresh')",9,0.69184,0.736958,0.55514
ElasticNet,"('ResNet-50', 'thresh')",10,0.59833,0.906298,0.66
ElasticNet,"('ResNet-50', 'top5')",1,0.572831,0.952655,0.729549
ElasticNet,"('ResNet-50', 'top5')",2,0.637046,0.953151,0.72231
ElasticNet,"('ResNet-50', 'top5')",3,0.64244,0.829751,0.680507
ElasticNet,"('ResNet-50', 'top5')",4,0.618572,0.8817,0.652856
ElasticNet,"('ResNet-50', 'top5')",5,0.600102,0.899983,0.702699
ElasticNet,"('ResNet-50', 'top5')",6,0.429942,0.867916,0.684916
ElasticNet,"('ResNet-50', 'top5')",7,0.558842,0.899469,0.754451
ElasticNet,"('ResNet-50', 'top5')",8,0.631502,0.878732,0.679129
ElasticNet,"('ResNet-50', 'top5')",9,0.69184,0.736958,0.55514
ElasticNet,"('ResNet-50', 'top5')",10,0.60109,0.903179,0.655131
ElasticNet,"('ResNet-50', 'top10')",1,0.569942,0.95587,0.746056
ElasticNet,"('ResNet-50', 'top10')",2,0.652626,0.93247,0.702658
ElasticNet,"('ResNet-50', 'top10')",3,0.632126,0.841634,0.691415
ElasticNet,"('ResNet-50', 'top10')",4,0.612632,0.888538,0.668165
ElasticNet,"('ResNet-50', 'top10')",5,0.594935,0.905778,0.699126
ElasticNet,"('ResNet-50', 'top10')",6,0.456393,0.847542,0.672699
ElasticNet,"('ResNet-50', 'top10')",7,0.584682,0.872729,0.724729
ElasticNet,"('ResNet-50', 'top10')",8,0.635146,0.874377,0.67197
ElasticNet,"('ResNet-50', 'top10')",9,0.673759,0.758271,0.566506
ElasticNet,"('ResNet-50', 'top10')",10,0.583939,0.922391,0.654549
ElasticNet,"('ResNet-50', 'top20')",1,0.578631,0.946165,0.749379
ElasticNet,"('ResNet-50', 'top20')",2,0.650513,0.935301,0.698997
ElasticNet,"('ResNet-50', 'top20')",3,0.642346,0.829861,0.687033
ElasticNet,"('ResNet-50', 'top20')",4,0.631028,0.867183,0.659075
ElasticNet,"('ResNet-50', 'top20')",5,0.585438,0.916335,0.702442
ElasticNet,"('ResNet-50', 'top20')",6,0.450264,0.852306,0.681259
ElasticNet,"('ResNet-50', 'top20')",7,0.573518,0.884381,0.718488
ElasticNet,"('ResNet-50', 'top20')",8,0.635685,0.87373,0.676398
ElasticNet,"('ResNet-50', 'top20')",9,0.671602,0.760773,0.571713
ElasticNet,"('ResNet-50', 'top20')",10,0.582243,0.924269,0.652014
ElasticNet,"('DINOv2', 'thresh')",1,0.61879,0.899948,0.690369
ElasticNet,"('DINOv2', 'thresh')",2,0.642774,0.945599,0.704408
ElasticNet,"('DINOv2', 'thresh')",3,0.700577,0.759305,0.620545
ElasticNet,"('DINOv2', 'thresh')",4,0.640834,0.855583,0.636331
ElasticNet,"('DINOv2', 'thresh')",5,0.604105,0.895467,0.670918
ElasticNet,"('DINOv2', 'thresh')",6,0.374089,0.909441,0.711874
ElasticNet,"('DINOv2', 'thresh')",7,0.603183,0.853069,0.695479
ElasticNet,"('DINOv2', 'thresh')",8,0.654268,0.851156,0.661034
ElasticNet,"('DINOv2', 'thresh')",9,0.723809,0.697685,0.506648
ElasticNet,"('DINOv2', 'thresh')",10,0.575373,0.931837,0.664231
ElasticNet,"('DINOv2', 'top5')",1,0.61879,0.899948,0.690369
ElasticNet,"('DINOv2', 'top5')",2,0.642774,0.945599,0.704408
ElasticNet,"('DINOv2', 'top5')",3,0.687733,0.77542,0.633771
ElasticNet,"('DINOv2', 'top5')",4,0.640834,0.855583,0.636331
ElasticNet,"('DINOv2', 'top5')",5,0.607783,0.891298,0.666667
ElasticNet,"('DINOv2', 'top5')",6,0.374089,0.909441,0.711874
ElasticNet,"('DINOv2', 'top5')",7,0.603548,0.852676,0.696324
ElasticNet,"('DINOv2', 'top5')",8,0.650615,0.85564,0.659519
ElasticNet,"('DINOv2', 'top5')",9,0.72634,0.694481,0.501728
ElasticNet,"('DINOv2', 'top5')",10,0.575373,0.931837,0.664231
ElasticNet,"('DINOv2', 'top10')",1,0.622777,0.89523,0.688573
ElasticNet,"('DINOv2', 'top10')",2,0.646659,0.940444,0.707628
ElasticNet,"('DINOv2', 'top10')",3,0.678999,0.786189,0.639347
ElasticNet,"('DINOv2', 'top10')",4,0.630573,0.867718,0.646109
ElasticNet,"('DINOv2', 'top10')",5,0.60756,0.891551,0.660613
ElasticNet,"('DINOv2', 'top10')",6,0.401836,0.889055,0.714037
ElasticNet,"('DINOv2', 'top10')",7,0.614365,0.840964,0.69229
ElasticNet,"('DINOv2', 'top10')",8,0.635438,0.874027,0.666977
ElasticNet,"('DINOv2', 'top10')",9,0.742036,0.674271,0.487452
ElasticNet,"('DINOv2', 'top10')",10,0.59988,0.904547,0.647305
ElasticNet,"('DINOv2', 'top20')",1,0.609861,0.910427,0.688431
ElasticNet,"('DINOv2', 'top20')",2,0.655255,0.928934,0.703369
ElasticNet,"('DINOv2', 'top20')",3,0.695933,0.765171,0.616578
ElasticNet,"('DINOv2', 'top20')",4,0.637421,0.859638,0.661566
ElasticNet,"('DINOv2', 'top20')",5,0.613877,0.884347,0.655327
ElasticNet,"('DINOv2', 'top20')",6,0.373608,0.909791,0.729448
ElasticNet,"('DINOv2', 'top20')",7,0.622428,0.832126,0.676024
ElasticNet,"('DINOv2', 'top20')",8,0.62865,0.882126,0.672956
ElasticNet,"('DINOv2', 'top20')",9,0.756542,0.655039,0.479758
ElasticNet,"('DINOv2', 'top20')",10,0.61076,0.892165,0.644327
Ridge,"('A',)",1,0.488679,1.042275,0.737179
Ridge,"('A',)",2,0.548088,1.063562,0.798523
Ridge,"('A',)",3,0.616093,0.859779,0.689879
Ridge,"('A',)",4,0.502177,1.007284,0.744169
Ridge,"('A',)",5,0.521359,0.98461,0.737832
Ridge,"('A',)",6,0.409669,0.883215,0.710228
Ridge,"('A',)",7,0.452346,1.002171,0.854944
Ridge,"('A',)",8,0.545533,0.975866,0.77352
Ridge,"('A',)",9,0.7036,0.72276,0.587409
Ridge,"('A',)",10,0.496057,1.015143,0.709315
Ridge,"('ResNet-50', 'thresh')",1,0.552321,0.975257,0.746468
Ridge,"('ResNet-50', 'thresh')",2,0.623717,0.970495,0.735151
Ridge,"('ResNet-50', 'thresh')",3,0.607872,0.868936,0.699261
Ridge,"('ResNet-50', 'thresh')",4,0.571281,0.934761,0.70171
Ridge,"('ResNet-50', 'thresh')",5,0.554789,0.949604,0.735929
Ridge,"('ResNet-50', 'thresh')",6,0.442001,0.858688,0.685604
Ridge,"('ResNet-50', 'thresh')",7,0.549911,0.908528,0.75167
Ridge,"('ResNet-50', 'thresh')",8,0.641749,0.866429,0.652589
Ridge,"('ResNet-50', 'thresh')",9,0.709712,0.715269,0.552288
Ridge,"('ResNet-50', 'thresh')",10,0.597082,0.907704,0.667628
Ridge,"('ResNet-50', 'top5')",1,0.564001,0.96245,0.73159
Ridge,"('ResNet-50', 'top5')",2,0.623439,0.970853,0.73848
Ridge,"('ResNet-50', 'top5')",3,0.607872,0.868936,0.699261
Ridge,"('ResNet-50', 'top5')",4,0.587572,0.916829,0.681907
Ridge,"('ResNet-50', 'top5')",5,0.558467,0.945673,0.737959
Ridge,"('ResNet-50', 'top5')",6,0.442001,0.858688,0.685604
Ridge,"('ResNet-50', 'top5')",7,0.537929,0.920542,0.768612
Ridge,"('ResNet-50', 'top5')",8,0.641749,0.866429,0.652589
Ridge,"('ResNet-50', 'top5')",9,0.709712,0.715269,0.552288
Ridge,"('ResNet-50', 'top5')",10,0.602604,0.901463,0.661375
Ridge,"('ResNet-50', 'top10')",1,0.557536,0.96956,0.747311
Ridge,"('ResNet-50', 'top10')",2,0.641351,0.947481,0.716742
Ridge,"('ResNet-50', 'top10')",3,0.593789,0.884402,0.716262
Ridge,"('ResNet-50', 'top10')",4,0.581145,0.923945,0.707764
Ridge,"('ResNet-50', 'top10')",5,0.551313,0.953304,0.732915
Ridge,"('ResNet-50', 'top10')",6,0.46151,0.843544,0.685624
Ridge,"('ResNet-50', 'top10')",7,0.567269,0.890836,0.726821
Ridge,"('ResNet-50', 'top10')",8,0.644957,0.862541,0.644562
Ridge,"('ResNet-50', 'top10')",9,0.690082,0.739057,0.566501
