상권유형,n,CV_folds,R2_tabular,R2_tabular_std,R2_image,R2_image_std,delta_R2,t_stat,p_value,significance
골목상권,597,10,0.3075,0.1019,0.348,0.1282,0.0405,1.535,0.1592,n.s.
발달상권,194,5,0.1016,0.0614,0.1389,0.1841,0.0374,0.405,0.706,n.s.
