reg,model,fold,r2,rmse,mae
LASSO,"('DINOv2', 'top10')",8,0.608156,1.041279,0.749459
LASSO,"('DINOv2', 'top10')",9,0.577968,0.900743,0.711938
LASSO,"('DINOv2', 'top10')",10,0.512939,1.01229,0.79531
LASSO,"('DINOv2', 'top20')",1,0.511201,0.964736,0.744042
LASSO,"('DINOv2', 'top20')",2,0.557727,0.93344,0.745646
LASSO,"('DINOv2', 'top20')",3,0.532298,1.022075,0.739497
LASSO,"('DINOv2', 'top20')",4,0.455678,0.930792,0.757516
LASSO,"('DINOv2', 'top20')",5,0.56963,0.936577,0.743081
LASSO,"('DINOv2', 'top20')",6,0.471399,1.296884,0.911558
LASSO,"('DINOv2', 'top20')",7,0.662753,0.848476,0.635292
LASSO,"('DINOv2', 'top20')",8,0.600864,1.050924,0.76531
LASSO,"('DINOv2', 'top20')",9,0.555663,0.92424,0.723902
LASSO,"('DINOv2', 'top20')",10,0.518514,1.006479,0.796615
ElasticNet,"('A',)",1,0.387994,1.079497,0.840769
ElasticNet,"('A',)",2,0.498925,0.993556,0.788913
ElasticNet,"('A',)",3,0.424505,1.133754,0.809215
ElasticNet,"('A',)",4,0.560593,0.836293,0.671896
ElasticNet,"('A',)",5,0.49986,1.009644,0.808843
ElasticNet,"('A',)",6,0.369913,1.415916,0.967359
ElasticNet,"('A',)",7,0.633196,0.884877,0.635841
ElasticNet,"('A',)",8,0.639814,0.99833,0.739874
ElasticNet,"('A',)",9,0.529166,0.951397,0.710654
ElasticNet,"('A',)",10,0.476743,1.049229,0.798316
ElasticNet,"('ResNet-50', 'thresh')",1,0.450538,1.022851,0.792832
ElasticNet,"('ResNet-50', 'thresh')",2,0.511776,0.980734,0.760351
ElasticNet,"('ResNet-50', 'thresh')",3,0.432181,1.126168,0.789058
ElasticNet,"('ResNet-50', 'thresh')",4,0.502505,0.889855,0.728296
ElasticNet,"('ResNet-50', 'thresh')",5,0.560629,0.946321,0.769556
ElasticNet,"('ResNet-50', 'thresh')",6,0.434711,1.341135,0.942595
ElasticNet,"('ResNet-50', 'thresh')",7,0.685473,0.819397,0.614617
ElasticNet,"('ResNet-50', 'thresh')",8,0.644956,0.991179,0.705262
ElasticNet,"('ResNet-50', 'thresh')",9,0.566864,0.912516,0.690016
ElasticNet,"('ResNet-50', 'thresh')",10,0.503981,1.021556,0.816417
ElasticNet,"('ResNet-50', 'top5')",1,0.44313,1.029723,0.817824
ElasticNet,"('ResNet-50', 'top5')",2,0.507107,0.985412,0.765636
ElasticNet,"('ResNet-50', 'top5')",3,0.43312,1.125236,0.785646
ElasticNet,"('ResNet-50', 'top5')",4,0.530574,0.864388,0.690327
ElasticNet,"('ResNet-50', 'top5')",5,0.559052,0.948018,0.771342
ElasticNet,"('ResNet-50', 'top5')",6,0.435857,1.339774,0.936356
ElasticNet,"('ResNet-50', 'top5')",7,0.667303,0.842733,0.609633
ElasticNet,"('ResNet-50', 'top5')",8,0.630923,1.010576,0.722551
ElasticNet,"('ResNet-50', 'top5')",9,0.575664,0.903199,0.677108
ElasticNet,"('ResNet-50', 'top5')",10,0.507217,1.018218,0.797932
ElasticNet,"('ResNet-50', 'top10')",1,0.450538,1.022851,0.792832
ElasticNet,"('ResNet-50', 'top10')",2,0.536595,0.955481,0.751489
ElasticNet,"('ResNet-50', 'top10')",3,0.460473,1.097753,0.778651
ElasticNet,"('ResNet-50', 'top10')",4,0.494377,0.897095,0.73432
ElasticNet,"('ResNet-50', 'top10')",5,0.569783,0.93641,0.747374
ElasticNet,"('ResNet-50', 'top10')",6,0.46034,1.31038,0.919898
ElasticNet,"('ResNet-50', 'top10')",7,0.68064,0.825669,0.618263
ElasticNet,"('ResNet-50', 'top10')",8,0.646424,0.989128,0.71439
ElasticNet,"('ResNet-50', 'top10')",9,0.566864,0.912516,0.690016
ElasticNet,"('ResNet-50', 'top10')",10,0.503981,1.021556,0.816417
ElasticNet,"('ResNet-50', 'top20')",1,0.472042,1.002636,0.775233
ElasticNet,"('ResNet-50', 'top20')",2,0.52732,0.964994,0.749026
ElasticNet,"('ResNet-50', 'top20')",3,0.463248,1.094926,0.775812
ElasticNet,"('ResNet-50', 'top20')",4,0.477372,0.912056,0.743699
ElasticNet,"('ResNet-50', 'top20')",5,0.580546,0.924623,0.731226
ElasticNet,"('ResNet-50', 'top20')",6,0.466261,1.303171,0.924568
ElasticNet,"('ResNet-50', 'top20')",7,0.651206,0.862879,0.64202
ElasticNet,"('ResNet-50', 'top20')",8,0.656154,0.975422,0.712354
ElasticNet,"('ResNet-50', 'top20')",9,0.568591,0.910695,0.692275
ElasticNet,"('ResNet-50', 'top20')",10,0.508509,1.016883,0.800199
ElasticNet,"('DINOv2', 'thresh')",1,0.504285,0.971537,0.756244
ElasticNet,"('DINOv2', 'thresh')",2,0.537094,0.954965,0.749571
ElasticNet,"('DINOv2', 'thresh')",3,0.541414,1.012064,0.737374
ElasticNet,"('DINOv2', 'thresh')",4,0.451291,0.934535,0.770699
ElasticNet,"('DINOv2', 'thresh')",5,0.558668,0.948429,0.767787
ElasticNet,"('DINOv2', 'thresh')",6,0.451542,1.321018,0.912358
ElasticNet,"('DINOv2', 'thresh')",7,0.673274,0.835137,0.614941
ElasticNet,"('DINOv2', 'thresh')",8,0.615066,1.032058,0.753289
ElasticNet,"('DINOv2', 'thresh')",9,0.579323,0.899296,0.715303
ElasticNet,"('DINOv2', 'thresh')",10,0.513858,1.011334,0.812809
ElasticNet,"('DINOv2', 'top5')",1,0.492407,0.983108,0.768773
ElasticNet,"('DINOv2', 'top5')",2,0.546714,0.944991,0.738706
ElasticNet,"('DINOv2', 'top5')",3,0.546778,1.006129,0.734838
ElasticNet,"('DINOv2', 'top5')",4,0.440733,0.943484,0.775215
ElasticNet,"('DINOv2', 'top5')",5,0.558668,0.948429,0.767787
ElasticNet,"('DINOv2', 'top5')",6,0.444545,1.329418,0.899194
ElasticNet,"('DINOv2', 'top5')",7,0.679219,0.827504,0.601964
ElasticNet,"('DINOv2', 'top5')",8,0.615066,1.032058,0.753289
ElasticNet,"('DINOv2', 'top5')",9,0.583786,0.894513,0.714024
ElasticNet,"('DINOv2', 'top5')",10,0.516061,1.00904,0.805069
ElasticNet,"('DINOv2', 'top10')",1,0.504291,0.971531,0.755969
ElasticNet,"('DINOv2', 'top10')",2,0.546835,0.944865,0.737388
ElasticNet,"('DINOv2', 'top10')",3,0.543288,1.009995,0.738668
ElasticNet,"('DINOv2', 'top10')",4,0.437138,0.946511,0.777597
ElasticNet,"('DINOv2', 'top10')",5,0.572018,0.933975,0.749791
ElasticNet,"('DINOv2', 'top10')",6,0.452224,1.320197,0.917823
ElasticNet,"('DINOv2', 'top10')",7,0.674358,0.833749,0.614654
ElasticNet,"('DINOv2', 'top10')",8,0.608156,1.041279,0.749459
ElasticNet,"('DINOv2', 'top10')",9,0.577968,0.900743,0.711938
ElasticNet,"('DINOv2', 'top10')",10,0.512939,1.01229,0.79531
ElasticNet,"('DINOv2', 'top20')",1,0.511201,0.964736,0.744042
ElasticNet,"('DINOv2', 'top20')",2,0.557727,0.93344,0.745646
ElasticNet,"('DINOv2', 'top20')",3,0.532298,1.022075,0.739497
ElasticNet,"('DINOv2', 'top20')",4,0.455678,0.930792,0.757516
ElasticNet,"('DINOv2', 'top20')",5,0.56963,0.936577,0.743081
ElasticNet,"('DINOv2', 'top20')",6,0.471399,1.296884,0.911558
ElasticNet,"('DINOv2', 'top20')",7,0.662753,0.848476,0.635292
ElasticNet,"('DINOv2', 'top20')",8,0.600864,1.050924,0.76531
ElasticNet,"('DINOv2', 'top20')",9,0.555663,0.92424,0.723902
ElasticNet,"('DINOv2', 'top20')",10,0.518514,1.006479,0.796615
Ridge,"('A',)",1,0.352213,1.110605,0.852361
Ridge,"('A',)",2,0.459228,1.032164,0.818708
Ridge,"('A',)",3,0.44678,1.111596,0.787878
Ridge,"('A',)",4,0.558127,0.838636,0.644958
Ridge,"('A',)",5,0.493979,1.015563,0.81522
Ridge,"('A',)",6,0.361119,1.425763,0.976477
Ridge,"('A',)",7,0.627131,0.892162,0.634389
Ridge,"('A',)",8,0.591404,1.063305,0.805311
Ridge,"('A',)",9,0.533247,0.947265,0.707911
Ridge,"('A',)",10,0.467314,1.058641,0.824636
Ridge,"('ResNet-50', 'thresh')",1,0.437713,1.034719,0.799196
Ridge,"('ResNet-50', 'thresh')",2,0.478812,1.013301,0.783698
Ridge,"('ResNet-50', 'thresh')",3,0.420985,1.137216,0.794484
Ridge,"('ResNet-50', 'thresh')",4,0.488722,0.902097,0.718287
Ridge,"('ResNet-50', 'thresh')",5,0.544519,0.963513,0.79712
Ridge,"('ResNet-50', 'thresh')",6,0.437869,1.337383,0.949938
Ridge,"('ResNet-50', 'thresh')",7,0.671807,0.837009,0.638459
Ridge,"('ResNet-50', 'thresh')",8,0.608385,1.040976,0.763731
Ridge,"('ResNet-50', 'thresh')",9,0.562223,0.917392,0.698333
Ridge,"('ResNet-50', 'thresh')",10,0.48987,1.035985,0.834542
Ridge,"('ResNet-50', 'top5')",1,0.41525,1.055185,0.845616
Ridge,"('ResNet-50', 'top5')",2,0.472451,1.019467,0.792995
Ridge,"('ResNet-50', 'top5')",3,0.421496,1.136714,0.789856
Ridge,"('ResNet-50', 'top5')",4,0.50361,0.888867,0.68507
Ridge,"('ResNet-50', 'top5')",5,0.54671,0.961193,0.792958
Ridge,"('ResNet-50', 'top5')",6,0.436247,1.339311,0.94342
Ridge,"('ResNet-50', 'top5')",7,0.659959,0.851983,0.621252
Ridge,"('ResNet-50', 'top5')",8,0.579004,1.07932,0.78777
Ridge,"('ResNet-50', 'top5')",9,0.571949,0.907144,0.682684
