feature,coef,abs_coef
상권_유형_더미,0.32508160584280016,0.32508160584280016
경쟁_집중도,0.17337713371663394,0.17337713371663394
식음료_비율,0.16259577256799781,0.16259577256799781
청년_비율,-0.0859557726134092,0.0859557726134092
폐업률,-0.08294808887232703,0.08294808887232703
면적_km2,0.060110560868908994,0.060110560868908994
유동인구,0.046284739816452404,0.046284739816452404
업종_다양성_HHI,0.0425247202877023,0.0425247202877023
점포_수,0.042132883439754534,0.042132883439754534
주말_비율,-0.028201007953895685,0.028201007953895685
야간_비율,-0.022593365564511976,0.022593365564511976
여성_비율,-0.020253591373801286,0.020253591373801286
직장인구,0.0,0.0
개업률,0.0,0.0
프랜차이즈_비율,0.0,0.0
